,Year,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Urban population,Service GVA,Rural population,Livestock population,Total water use,Basin,Index
23,1988,2237.2749149383367,134.21431349214558,247.5659209703922,672.9632183534932,89.4531257726648,1093.0783363496412,113.70010328085836,6.178189884231421,2.8351742465733745,11.76500155547856,8.634141835811215,15.342083080211507,12.062441422208598,4.466221901591595,8.710289776386166,1.8002559024124547,3.4212589171247183,38.485044758828735,38.64088600000001,63.18120352815139,47.84643242,8706.399554750356,26.870416170437867,songhuajiang,7
24,1989,2354.76542309643,146.3972355928274,304.61897969984415,716.118053247851,93.1860303400881,1094.4451242158193,118.41469107271037,6.452708468707849,3.0071587896182357,12.202711002678631,9.12203881681912,16.309640437294483,12.758994384307451,4.775478341212639,9.129144935230807,1.731829519688866,3.4950302590682973,39.42995611808398,39.900086,72.99244935898315,47.408536899999994,9031.486307995863,28.31963553587698,songhuajiang,7
25,1990,2801.156305807902,191.33165142015415,409.94699091293194,925.986392886946,109.23564366624193,1164.655626921628,124.50004691917971,6.150872501088093,3.0817148857924175,13.077864105385178,9.465852251165693,20.514616619890813,13.897831305757402,4.4757037373016155,8.871141020052427,1.4777707231151476,4.329413834798604,39.15726593483232,41.965026,80.334217699108,47.816614079999994,9700.565910098212,31.591655240173232,songhuajiang,7
26,1991,2937.634954121258,213.54992521902085,432.20467893073845,998.4066379071094,114.53861802517162,1178.935094039218,142.20268378120437,6.482402442007727,3.0401890118181982,15.157010079261038,10.623874903631988,24.86073083797249,15.940053440210356,4.977908674731514,10.267328143980126,1.5647154335825704,5.888729361133746,43.39974145287459,43.142633,105.91161929316895,47.49109381999999,10314.801292712908,32.824252597256454,songhuajiang,7
27,1992,3164.33795807278,225.7459502663948,503.6727294494612,1022.3604653406892,127.36127248587069,1285.1975405303642,171.5200029825907,6.537898832986245,3.253369392479632,18.308946268075836,13.565907621625122,27.953068357894534,17.12460090068339,6.436882888606673,16.34889496601141,1.6651263231140176,7.267456340033818,53.057851091080025,44.36179800000001,130.45415436718534,47.162691540000004,11040.01138811668,32.31558856417722,songhuajiang,7
28,1993,3154.9321124181924,206.9295914313085,432.5528185999666,886.8008336673738,135.0652175830189,1493.5836511365242,237.71607354132166,8.779382476497293,3.6115399288989116,27.04824474086898,24.40543538447691,39.845195139367895,19.907684059176155,9.314122343397143,30.46142891067867,2.3379881237287052,11.19583256430564,60.80921986992532,45.574624000000014,178.72998828454456,46.80987515999999,11750.055565295856,31.636578393685298,songhuajiang,7
29,1994,3013.788420460276,191.25947182956037,354.9870279869796,907.5011833257976,130.81889021754898,1429.22184710039,287.98140217354523,11.26118643723176,3.645845818889904,33.93318384494519,23.97992923166384,53.7997265201329,25.9160625660731,10.264842379799125,38.21941617213017,3.16470920263594,13.361924207213113,70.43457579283023,46.807066999999996,203.94133975615802,46.45537524,13560.959033016174,32.71684256140447,songhuajiang,7
30,1995,3105.76116722754,214.02419494928614,347.08072569456533,1072.6664199918457,146.73129699283143,1325.2585295990114,289.64761797834365,9.98831584841727,3.501205277323079,27.49982147546523,16.332735720825582,53.87699626427476,27.526539099831492,10.02072749542982,35.04904933115853,3.7150575435454694,12.940960786519087,89.19620913555339,48.35062399999998,214.9891937033175,46.18644252,16069.079852954552,34.01009433178984,songhuajiang,7
31,1996,3415.288828175408,280.85539452492577,408.3360375963981,1250.543107016206,164.05826707604749,1311.4960219618313,319.2728272218213,9.382274539955574,3.6197775867884467,30.6288529077981,18.24473011471469,52.340311874254745,29.75176253439209,10.587275493177888,38.91490761741014,4.272873147585389,13.388362501446617,108.14169890429764,49.562637,236.4278724599209,45.789704199999996,18744.28909928101,37.44392768143376,songhuajiang,7
32,1997,3887.935026367398,383.70682852922033,417.6548951798323,1401.055801375973,193.2468729050858,1492.270628377287,336.444228916579,8.755212518800478,3.9635348252034244,39.94826723674506,19.83992310837731,59.34164927251677,31.963725260266777,10.889806106375643,39.505706848363964,4.836362981456165,13.620848657582865,103.77919210089061,51.18001000000002,267.52456348493854,45.41019398,17591.557512144598,38.74102682568036,songhuajiang,7
33,1998,4184.363126038561,438.0558739556198,388.29245270311264,1539.6919097045854,217.46433460951516,1600.8585550657272,337.84304475674264,8.806010689203031,5.034953472911217,49.94656059793474,26.093274102416327,87.45330772550342,39.84288987042388,11.406550834374883,47.460157059723066,6.812520042376095,18.17645561066752,43.62650070464301,52.39734200000001,316.9490278766282,44.95742215999999,17107.572845712544,40.04365215908475,songhuajiang,7
34,1999,4632.777169541899,506.7222129527663,398.5093793451867,1709.190352184894,277.1591531901588,1741.1960718688936,367.87851519698535,8.843275055311892,4.88592449842788,51.166120277604044,19.93046965014395,92.55412856863025,39.21257463166633,10.22420580097627,59.96678384871697,8.060008720181022,21.091864808351016,51.943159336975675,54.050304999999994,363.80424640713113,44.21329128000001,17819.712402624373,38.38031279245885,songhuajiang,7
35,2000,4741.1727219294025,551.8949242807134,265.41993489213155,1432.9224250538468,301.00513923202936,2189.930298470681,474.22187148685214,9.841994578486418,5.460104577793229,82.85192285812087,23.002987323541674,130.93039266410327,41.14740519816615,11.462071563426413,74.20277795660567,8.884503045523097,29.004078606228475,57.43363311485687,57.15943700000001,403.012520594572,43.522566399999995,17547.640197599445,39.64448687064519,songhuajiang,7
